# source: refs/1311.4561.pdf page 11, frame (167.02, 95.76, 447.81, 305.77)
# axes: x [0.1, 0.712473], y [-0.0061126, 0.027875]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve b1_ref35: colour=(0.6, 0.24, 0.563) dash='[] 0' points=541 x=[0.1007, 0.7000]
# curve b1_q2_1p17: colour=(0.24, 0.353, 0.6) dash='[] 0' points=501 x=[0.1007, 0.7000]
# curve b1_q2_1p76: colour=(0.6, 0.547, 0.24) dash='[] 0' points=493 x=[0.1007, 0.7000]
# curve b1_q2_2p12: colour=(0.6, 0.24, 0.443) dash='[] 0' points=488 x=[0.1007, 0.7000]
# curve b1_q2_3p25: colour=(0.247, 0.24, 0.6) dash='[] 0' points=470 x=[0.1007, 0.7000]
# x,b1_ref35,b1_q2_1p17,b1_q2_1p76,b1_q2_2p12,b1_q2_3p25
0.579731,3.90319e-05,7.07017e-05,6.16716e-05,5.68402e-05,4.41428e-05
0.581735,8.05726e-05,0.000113002,0.00010415,9.93943e-05,8.69243e-05
0.583739,0.000122113,0.000155302,0.000146628,0.000141948,0.000129706
0.585743,0.000163654,0.000197601,0.000189106,0.000184502,0.000172487
0.587747,0.000205195,0.000239901,0.000231584,0.000227056,0.000215269
0.589751,0.000245281,0.000280758,0.00027261,0.000268133,0.00025662
0.591756,0.000282719,0.000319137,0.000311107,0.000306756,0.000295366
0.59376,0.000318847,0.000356225,0.000348383,0.000344085,0.000332923
0.595764,0.000354165,0.000392558,0.000384887,0.000380647,0.000369713
0.597768,0.000387606,0.000427118,0.000419564,0.000415419,0.000404693
0.599772,0.000421046,0.000461679,0.000454242,0.00045019,0.000439673
0.601776,0.000454427,0.000496166,0.000488871,0.00048491,0.000474593
0.603781,0.000485598,0.00052852,0.000521442,0.000517505,0.000507389
0.605785,0.00051563,0.000559833,0.000552871,0.00054903,0.000539102
0.607789,0.000544986,0.000590518,0.000583698,0.000579954,0.000570215
0.609793,0.000573188,0.000619198,0.000612521,0.00060885,0.00059928
0.611797,0.000600199,0.000647646,0.000641112,0.000637512,0.000628108
0.613801,0.000626411,0.000676095,0.000669703,0.000666174,0.000656937
0.615806,0.000651767,0.000703152,0.000696877,0.000693434,0.000684398
0.61781,0.000675813,0.000728848,0.000722688,0.00071928,0.000710488
0.619814,0.000699063,0.000753779,0.000747771,0.000744464,0.000735773
0.621818,0.00072134,0.000777862,0.000771969,0.000768754,0.000760252
0.623822,0.000742459,0.000800856,0.000795064,0.000791886,0.000783568
0.625826,0.000762859,0.000823193,0.000817503,0.000814429,0.000806263
0.62783,0.000782275,0.000844581,0.000838994,0.000835936,0.000827958
0.629835,0.000800561,0.000864896,0.00085947,0.000856506,0.000848701
0.631839,0.00081806,0.000884561,0.000879226,0.000876358,0.000868692
0.633843,0.000834764,0.000903495,0.000898324,0.000895467,0.000887917
0.635847,0.00085038,0.000921453,0.000916314,0.000913554,0.000906174
0.637851,0.000865002,0.000938431,0.000933432,0.000930718,0.000923528
0.639855,0.000879107,0.000954995,0.000950095,0.000947404,0.000940408
0.64186,0.000892083,0.000970551,0.000965771,0.00096316,0.000956216
0.643864,0.000904021,0.00098516,0.000980482,0.000977918,0.000971177
0.645868,0.000915509,0.000999326,0.000994767,0.000992268,0.000985689
0.647872,0.000925898,0.00101255,0.00100807,0.00100561,0.000999193
0.649876,0.000935314,0.00102494,0.00102056,0.00101815,0.00101189
0.65188,0.000944217,0.00103688,0.00103262,0.00103028,0.00102407
0.653885,0.0009522,0.00104791,0.00104374,0.00104143,0.00103539
0.655889,0.000959269,0.00105819,0.00105412,0.00105186,0.00104593
0.657893,0.000965701,0.00106798,0.00106401,0.00106178,0.00105601
0.659897,0.000971278,0.00107687,0.00107301,0.00107085,0.0010652
0.661901,0.000976004,0.0010852,0.00108143,0.00107933,0.00107377
0.663905,0.000980106,0.00109294,0.00108927,0.00108718,0.0010818
0.66591,0.000983442,0.00109999,0.0010964,0.00109438,0.00108908
0.667914,0.000986007,0.00110639,0.00110284,0.00110089,0.0010957
0.669918,0.000987811,0.0011122,0.00110874,0.00110682,0.00110178
0.671922,0.000988994,0.00111743,0.00111403,0.00111216,0.00110723
0.673926,0.000989408,0.00112198,0.00111872,0.00111685,0.00111204
0.67593,0.00098918,0.00112605,0.00112284,0.00112105,0.00111636
0.677935,0.000988219,0.00112954,0.0011264,0.00112468,0.00112005
0.679939,0.000986642,0.00113248,0.00112942,0.00112773,0.00112319
0.681943,0.00098437,0.00113491,0.00113192,0.00113028,0.00112587
0.683947,0.000981477,0.00113681,0.0011339,0.00113226,0.001128
0.685951,0.000977965,0.00113816,0.00113532,0.00113375,0.00112957
0.687955,0.000973856,0.00113906,0.00113626,0.00113476,0.00113065
0.68996,0.000969105,0.00113945,0.00113676,0.00113524,0.00113128
0.691964,0.000963736,0.00113942,0.00113674,0.00113532,0.00113143
0.693968,0.000957877,0.00113892,0.0011363,0.00113488,0.00113107
0.695972,0.000951289,0.00113794,0.00113541,0.00113405,0.00113034
0.697976,0.000944282,0.00113654,0.00113408,0.00113274,0.00112915
0.69998,0.000936709,0.00113472,0.00113233,0.00113106,0.00112754
