# source: refs/1702.05337.pdf page 10, frame (106.07, 82.89, 263.6, 183.77)
# axes: x [0.0, 1.6], y [-0.002, 0.004]
# extracted by tools/digitize_figure.py; provenance in SOURCES.md
# curve xb1_theory1_q2_1p0: colour=(0.0, 0.0, 1.0) dash='[ 2.8781203 2.8781203 ] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_q2_2p5: colour=(0.0, 0.0, 1.0) dash='[] 0' points=319 x=[0.0050, 1.5950]
# curve xb1_theory1_q2_5p0: colour=(0.0, 0.0, 1.0) dash='[ 1.15125 2.3025 ] 0' points=317 x=[0.0050, 1.5850]
# curve xb1_theory2_q2_1p0: colour=(0.037, 0.833, 0.0) dash='[ 2.8781203 2.8781203 ] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_q2_2p5: colour=(0.037, 0.833, 0.0) dash='[] 0' points=159 x=[0.0100, 1.5900]
# curve xb1_theory2_q2_5p0: colour=(0.037, 0.833, 0.0) dash='[ 1.15125 2.3025 ] 0' points=159 x=[0.0100, 1.5900]
# x,xb1_theory1_q2_1p0,xb1_theory1_q2_2p5,xb1_theory1_q2_5p0,xb1_theory2_q2_1p0,xb1_theory2_q2_2p5,xb1_theory2_q2_5p0
0.636852,0.000991347,0.000772362,0.00062719,-0.000168953,9.90199e-05,0.000163141
0.642119,0.00106453,0.000794907,0.000636484,-0.000138125,0.000116809,0.000175347
0.647387,0.00113803,0.000816848,0.000645254,-0.000107185,0.000134364,0.000187258
0.652655,0.00121156,0.000838206,0.000653518,-7.62907e-05,0.000151652,0.000198871
0.657923,0.00128511,0.000858958,0.000661269,-4.54434e-05,0.000168676,0.000210189
0.66319,0.00135845,0.000879049,0.000668488,-1.47663e-05,0.000185272,0.000221082
0.668458,0.00143153,0.000898418,0.000675135,1.57991e-05,0.000201588,0.000231698
0.673726,0.00150415,0.000916985,0.000681186,4.60103e-05,0.00021733,0.000241829
0.678993,0.00157634,0.000934826,0.000686747,7.6073e-05,0.000232831,0.000251757
0.684261,0.00164794,0.00095175,0.000691696,0.000105608,0.000247626,0.000261079
0.689529,0.0017187,0.000967763,0.000695979,0.000135015,0.00026225,0.000270253
0.694796,0.00178867,0.000982944,0.000699781,0.000163651,0.000275951,0.000278642
0.700064,0.00185779,0.000997087,0.00070282,0.000192199,0.000289547,0.000286942
0.705332,0.00192575,0.00101019,0.000705293,0.000219755,0.000302024,0.000294372
0.7106,0.00199251,0.00102225,0.000707159,0.000247175,0.00031437,0.000301702
0.715867,0.00205793,0.00103336,0.000708321,0.000273512,0.000325674,0.000308247
0.721135,0.00212195,0.00104341,0.00070889,0.000299577,0.000336719,0.000314592
0.726403,0.00218451,0.00105235,0.000708835,0.00032463,0.000346804,0.000320199
0.73167,0.00224555,0.00106025,0.000708093,0.00034922,0.000356489,0.000325512
0.736938,0.00230482,0.00106704,0.000706738,0.000372794,0.000365298,0.000330185
0.742206,0.00236244,0.00107274,0.000704721,0.000395745,0.000373595,0.000334424
0.747474,0.00241803,0.00107741,0.000702076,0.000417822,0.000381174,0.000338056
0.752741,0.00247161,0.00108096,0.00069884,0.000439053,0.000388092,0.000341187
0.758009,0.00252317,0.00108343,0.000694938,0.000459494,0.000394393,0.00034385
0.763277,0.00257251,0.00108488,0.000690392,0.000478803,0.000399929,0.00034591
0.768544,0.0026195,0.00108527,0.000685218,0.000497419,0.000404997,0.0003476
0.773812,0.00266427,0.00108462,0.000679425,0.000514766,0.000409196,0.000348573
0.77908,0.0027067,0.00108295,0.000673071,0.000531617,0.000413056,0.000349264
0.784348,0.00274657,0.0010803,0.000666108,0.000546945,0.000415905,0.000349155
0.789615,0.00278386,0.0010766,0.000658532,0.000561946,0.000418537,0.000348874
0.794883,0.00281853,0.00107203,0.000650378,0.000575152,0.000420125,0.000347753
0.800151,0.00285045,0.00106652,0.000641724,0.000588165,0.000421602,0.000346539
0.805418,0.00287965,0.00106006,0.000632465,0.000599345,0.000422072,0.000344409
0.810686,0.00290597,0.00105268,0.000622649,0.000610289,0.000422405,0.000342174
0.815954,0.00292952,0.00104441,0.000612377,0.00061959,0.000421778,0.000339198
0.821221,0.0029503,0.00103532,0.000601729,0.000628448,0.000420931,0.000336043
0.826489,0.00296819,0.00102538,0.000590509,0.000635791,0.000419332,0.000332277
0.831757,0.00298322,0.00101463,0.000578897,0.000642517,0.000417411,0.000328266
0.837025,0.0029954,0.00100306,0.00056688,0.000647997,0.000414842,0.000323757
0.842292,0.00300477,0.000990795,0.000554529,0.000652721,0.000411909,0.00031895
0.84756,0.00301124,0.000977782,0.000541882,0.000656448,0.000408495,0.000313751
0.852828,0.00301488,0.000964066,0.000528926,0.000659257,0.000404631,0.000308269
0.858095,0.00301579,0.000949698,0.000515656,0.00066126,0.000400372,0.000302538
0.863363,0.00301393,0.000934621,0.000502111,0.000662213,0.000395614,0.000296466
0.868631,0.0030094,0.000918947,0.000488429,0.000662557,0.000390567,0.000290196
0.873899,0.00300222,0.00090268,0.000474568,0.000661726,0.000385063,0.000283677
0.879166,0.00299248,0.000885885,0.000460673,0.000660474,0.000379396,0.00027707
0.884434,0.00298026,0.000868542,0.000446603,0.000658039,0.000373197,0.000270142
0.889702,0.00296565,0.000850832,0.000432436,0.000655374,0.000366894,0.000263153
0.894969,0.00294864,0.000832652,0.000418297,0.000651594,0.000360129,0.000256021
0.900237,0.00292933,0.000814084,0.000404126,0.000647693,0.000353316,0.000248872
0.905505,0.0029079,0.000795133,0.000389968,0.000642615,0.000346074,0.000241536
0.910773,0.00288439,0.000775975,0.000375933,0.000637399,0.000338792,0.000234192
0.91604,0.00285903,0.00075655,0.000361968,0.000631355,0.000331277,0.000226801
0.921308,0.00283182,0.000736923,0.000348121,0.00062509,0.000323685,0.00021941
0.926576,0.0028029,0.000717242,0.000334435,0.000618138,0.000315855,0.000212021
0.931843,0.00277252,0.000697333,0.000320911,0.000610934,0.000308002,0.00020466
0.937111,0.00274056,0.000677446,0.000307593,0.000603252,0.000300104,0.000197355
0.942379,0.00270724,0.000657502,0.000294511,0.000595305,0.000292135,0.000190121
0.947646,0.00267275,0.000637691,0.000281659,0.000587029,0.000284078,0.000182974
0.952914,0.00263722,0.000617964,0.000269048,0.000578482,0.00027606,0.000175934
0.958182,0.00260068,0.000598342,0.000256743,0.000569713,0.000268074,0.00016898
0.96345,0.00256322,0.000578905,0.000244745,0.00056074,0.000260149,0.000162192
0.968717,0.00252513,0.00055969,0.00023311,0.000551659,0.000252256,0.000155492
0.973985,0.00248643,0.000540777,0.000221788,0.000542366,0.000244506,0.000149001
0.979253,0.00244711,0.000522117,0.000210756,0.000533004,0.000236803,0.000142579
